5 ||| h i s t ||| -13.2206501183 -8.46312213219 -8.33444874752 -11.1293726473 -6.98621214781 -1.0 -99.0 ||| -10.905071
6 ||| h e u t e ||| -0.00210409280121 -0.00227156766315 -0.00336019923685 -0.00539611253134 -0.00406669354178 0.0 -3.04383257031 ||| -0.026110
6 ||| h e u t ||| -7.10338220601 -8.24713249296 -10.0125108402 -7.2771607997 -10.2397142345 0.0 -99.0 ||| -9.313332
6 ||| h e u t e n ||| -11.2420650945 -8.17784896656 -6.56749605161 -9.32202081162 -6.83799079201 -1.0 -99.0 ||| -9.707794
7 ||| u n d ||| -0.000185145801183 -0.000220390798834 -8.19192318577e-05 -0.000174756379353 -0.00014177997911 0.0 -2.08033153415 ||| -0.015655
7 ||| u n d e ||| -10.8442853032 -9.77584535355 -13.0429107633 -8.82646341303 -9.66344364697 0.0 -99.0 ||| -11.167942
7 ||| u r d ||| -9.62698711711 -10.7787783524 -11.3596548253 -17.2617123578 -11.1129569435 0.0 -99.0 ||| -12.765370
8 ||| ! ||| -0.000511767100221 -0.000190769656293 -0.000393049103275 -5.31698507872e-05 -0.000328110739673 0.0 -2.41002061963 ||| -0.018245
8 ||| . ||| -11.3820694848 -11.4345154978 -11.2841480431 -12.1551463518 -9.94588637187 0.0 -2.04018464684 ||| -11.255548
8 ||| ! n ||| -11.8451837476 -12.6324087843 -12.4178329416 -11.5316196945 -11.7893417372 -1.0 -99.0 ||| -13.321587
9 ||| e m o j i q f e a r f u l f a c e ||| -0.711928939031 -0.023350328253 -0.0264882418165 -0.0108748953416 -0.0147999854216 0.0 -4.54191854596 ||| -0.191317
9 ||| e m o j i q f e a r f ü l f a c e ||| -3.79331912435 -6.95129527682 -6.39962248192 -6.5298082591 -10.4574719321 0.0 -99.0 ||| -7.563655
9 ||| e m o j i q f e a r f a u l f a c e ||| -1.36300008383 -5.3381930883 -10.9631997059 -9.76376019713 -8.11573051153 0.0 -99.0 ||| -7.846129
10 ||| a n z s t e h e n ||| -5.51122160635 -8.92363196642 -5.62839683695 -1.79770746307 -2.05192907265 0.0 -99.0 ||| -5.519929
10 ||| a z s t e h e n ||| -6.00307432761 -14.1757252024 -0.58016906747 -4.30715813034 -0.997364128539 0.0 -99.0 ||| -5.950050
10 ||| a n z s t e h e ||| -7.77755080873 -6.46834094616 -7.19729833546 -5.79494524727 -6.41882501015 0.0 -99.0 ||| -7.468744
11 ||| s o r r y ||| -0.0809235966087 -0.0477062806633 -0.0341325326427 -0.0524696839154 -0.0349188710198 0.0 -3.38208964467 ||| -0.075220
11 ||| s o r y ||| -6.68988413286 -4.99735633114 -6.79171174393 -3.78623935204 -8.16637735474 0.0 -99.0 ||| -6.823666
11 ||| s a r y ||| -6.61333020835 -5.04502085281 -5.65195760674 -10.8896195404 -7.17163951722 0.0 -99.0 ||| -7.811666
12 ||| a b e r ||| -0.00295266872775 -0.00113383145709 -0.00740194884048 -0.000507717000439 -0.012643715805 0.0 -2.27136832476 ||| -0.021845
12 ||| a b r ||| -8.92283799858 -8.61780001435 -5.0185900284 -10.3331441774 -4.57537972661 0.0 -99.0 ||| -8.230902
12 ||| a b ||| -7.1529207864 -7.93073051516 -9.22177686809 -12.0314044762 -8.76498759511 -1.0 -3.2858016789 ||| -9.585795
13 ||| g e r o n d i f ||| -0.295369912342 -0.10491140421 -0.158482554124 -1.87356460906 -0.0769544732441 0.0 -5.09283283353 ||| -0.539788
13 ||| g e r a n d i f ||| -5.41110454608 -3.49319358157 -10.4432003938 -6.29484456138 -5.74065495371 0.0 -99.0 ||| -7.013952
13 ||| g e r o n d i f e ||| -11.2496008034 -4.85054217573 -2.66122503611 -7.7083514647 -8.96786027401 0.0 -99.0 ||| -7.824868
14 ||| s c h l a f e n ||| -0.270318243294 -1.145056368 -0.18769204263 -0.056638530378 -0.238688178148 0.0 -3.768776685 ||| -0.407749
14 ||| s c h l a f e ||| -1.5099167604 -1.4841732865 -1.78941491932 -3.20646227135 -1.60352648371 0.0 -3.99475938082 ||| -1.948452
14 ||| s c h l a f e e ||| -7.63491112385 -4.96321204862 -9.98413820974 -6.14915392161 -4.83055715871 0.0 -99.0 ||| -7.449746
15 ||| a l s o ||| -0.000920570431562 -0.00322265716188 -0.0022119394164 -0.0203608216679 -0.0110772507363 0.0 -2.84862834215 ||| -0.028775
15 ||| a l s ||| -12.8559788041 -10.1072589672 -7.42323618391 -4.43098282475 -10.0309118408 0.0 -3.0835993886 ||| -8.992640
15 ||| s o ||| -9.17840036342 -6.81137958284 -10.0812561332 -7.48214322826 -8.96750603695 -1.0 -2.19287750125 ||| -9.061428
16 ||| d i e ||| -0.00791707150425 -0.00699767931136 -0.0143221222757 -0.00773822584519 -0.0306018763479 -2.0 -2.08469669521 ||| -1.110958
16 ||| d ||| -6.32312627278 -7.25135507067 -5.30809685849 -6.81378848989 -5.14935343703 0.0 -5.09283283353 ||| -6.207075
16 ||| d i e s e ||| -6.5611052811 -6.77571184421 -7.11269890429 -6.5397229936 -6.73364928015 -4.0 -3.38208964467 ||| -8.933599
17 ||| n o c h ||| -0.00559836470791 -0.00270314654242 -0.0165417426419 -0.00527078348054 -0.00398574733491 -1.0 -2.27911411226 ||| -0.564753
17 ||| n a c h ||| -6.41658516154 -8.48430051207 -4.63249837154 -6.17823721546 -6.7162227104 -1.0 -3.28734943271 ||| -7.051011
17 ||| n o ||| -7.1732697929 -6.98450680559 -6.3817269867 -7.76010005309 -8.54808545918 0.0 -4.54191854596 ||| -7.403366
18 ||| i s t ||| -8.43139007622e-05 -0.000231046109627 -5.98326667376e-05 -0.000425410678429 -6.1032537983e-05 -1.0 -1.99534249306 ||| -0.555992
18 ||| e i s t ||| -10.4647659803 -11.972140592 -11.9274845531 -8.64383341247 -13.6248554368 0.0 -99.0 ||| -12.063968
18 ||| i n s t ||| -10.1234266945 -9.038919438 -13.7031627859 -12.9360774991 -14.4386918155 0.0 -99.0 ||| -12.785408
19 ||| e m o j i q s m i r k i n g f a c e ||| -0.321371328031 -0.00643322836033 -0.0100496703282 -0.00396629378573 -0.0106264765388 0.0 -3.6063645184 ||| -0.097350
19 ||| e m o j i q s w i r k i n g f a c e ||| -7.06915216093 -9.7600669492 -7.85647270074 -7.60581230212 -9.14089015678 0.0 -99.0 ||| -9.023831
19 ||| e m o j i q s m i r k i n g f a c e e ||| -10.514963962 -6.58735962569 -9.77165506988 -8.60837430341 -8.01873522432 0.0 -99.0 ||| -9.437570
20 ||| s a g e | e s ||| -3.12980532064 -1.52400471844 -0.695867880837 -1.4718988381 -0.244362084498 0.0 -5.20442281105 ||| -1.451950
20 ||| s e i s ||| -0.928449365088 -1.11939535512 -3.7891543747 -1.91662903734 -6.83072921262 0.0 -99.0 ||| -3.654223
20 ||| s e g e | e s ||| -3.70941491627 -7.45313332983 -4.22617811514 -3.11652913792 -5.97549338482 0.0 -100.989596585 ||| -5.648320
21 ||| e a s y ||| -0.00158387456028 -0.00834477358734 -0.0268722378945 -0.0027770181669 -0.00391468881873 0.0 -3.36881950498 ||| -0.033789
21 ||| n a s y ||| -10.164840861 -10.2324078849 -7.77972059855 -7.05249209032 -9.23382501874 0.0 -99.0 ||| -9.630009
21 ||| e a n s y ||| -7.16284127213 -11.0950367225 -8.77838796837 -11.8771054285 -12.4496440844 0.0 -99.0 ||| -11.009955
22 ||| h a t | e s ||| -0.000877423581222 -0.00363227239717 -0.0101324227966 -0.00276015738301 -0.00464804106215 0.0 -3.15664400673 ||| -0.027921
22 ||| h a t | d a s ||| -8.86150657658 -10.4943331599 -4.89249799227 -8.29314415586 -8.865730577 0.0 -6.62501517683 ||| -8.330786
22 ||| h a t | s i e ||| -8.84117351836 -7.23464082726 -9.09732559527 -8.28424359618 -8.26830112992 0.0 -4.49972987175 ||| -8.378651
23 ||| n i c h t ||| -0.00031291714713 -0.00041537165593 -0.000840373554041 -0.00328371886774 -0.00395430751163 0.0 -2.03725638986 ||| -0.016935
23 ||| n i c h t s ||| -11.3492857963 -10.6079818635 -10.6732177621 -11.0244681921 -7.00727531921 -1.0 -3.01542276144 ||| -10.695863
23 ||| n i c h t e ||| -14.6235477925 -13.861823517 -12.5608343169 -8.02866466707 -8.41389513941 -1.0 -99.0 ||| -12.776063
24 ||| u m ||| -0.000758268496643 -0.00809680509523 -0.00735783485679 -0.00101936745544 -0.000199719842472 0.0 -3.54118424654 ||| -0.029861
24 ||| a u m ||| -8.55484871972 -12.3086145812 -6.10797434566 -10.5874700833 -10.1513137017 0.0 -99.0 ||| -10.279396
24 ||| h e m ||| -12.4984389441 -10.8362208624 -6.50110156643 -10.1677624196 -15.1724473324 0.0 -99.0 ||| -11.772546
25 ||| h a b e | e s ||| -0.0121261004593 -0.00564459313267 -0.0113694492527 -0.00669251178497 -0.00617240088094 0.0 -3.21168774314 ||| -0.032322
25 ||| h a b e | e i n ||| -5.15687821724 -7.93881163051 -6.56740285821 -8.75072792278 -10.3139350375 0.0 -7.00120759755 ||| -7.797696
26 ||| e i n e ||| -0.667794788394 -0.148276075127 -0.385243281763 -2.21130449698 -0.866302031229 -3.0 -2.49693717435 ||| -2.497255
26 ||| e i n ||| -1.41737162827 -2.57092648819 -3.98542816856 -3.53303550033 -0.914637691958 -2.0 -2.38818848878 ||| -3.583983
26 ||| e i n e n ||| -3.37841626061 -3.88810376392 -2.25456401146 -0.52024293959 -2.29567484034 -4.0 -2.6454061456 ||| -4.650935
27 ||| a l s ||| -0.000505677247672 -0.00354939247277 -0.00158931493088 -0.00129471600497 -0.00231083441409 0.0 -3.0835993886 ||| -0.024817
27 ||| a l e s ||| -10.6137181914 -6.81037669812 -11.4329757668 -10.1909189756 -7.01967348672 0.0 -99.0 ||| -9.950885
27 ||| a l s e ||| -9.12377693831 -8.74432165993 -9.77163450453 -10.3064815979 -8.37531804977 0.0 -99.0 ||| -10.001659
28 ||| d e r ||| -0.581303744554 -0.626154296586 -0.984437586542 -2.15034711012 -0.998472835096 0.0 -2.18047758192 ||| -1.084383
28 ||| d a n n ||| -1.05755948007 -1.19315925924 -2.33394974403 -0.558381333147 -0.744356698966 -1.0 -2.47111827135 ||| -1.736844
28 ||| d e n ||| -2.72793619948 -2.42962054727 -0.796844017013 -2.09058091298 -2.11062770113 0.0 -2.40422480926 ||| -2.049029
29 ||| z i e m l i c h ||| -0.0224240649352 -0.0239487051188 -0.0119475795738 -0.00950514043561 -0.103848468359 0.0 -3.54340556264 ||| -0.060726
29 ||| z i e m l i c h e ||| -9.99173016052 -4.64140112149 -9.22075759733 -4.90791151785 -5.14376640789 0.0 -5.09283283353 ||| -6.819045
29 ||| d i e m l i c h ||| -4.27196174279 -4.46541516672 -7.00231875219 -12.5550749216 -8.12508949672 0.0 -99.0 ||| -8.021324
30 ||| s c h l a f e n ||| -2.69369601321 -0.442327833549 -0.182891693356 -0.471809079261 -0.537102623945 0.0 -3.768776685 ||| -0.893635
30 ||| s c h l a f e ||| -7.61991343138 -5.69083596431 -3.93431216957 -7.59225400274 -2.91438373422 0.0 -3.99475938082 ||| -5.580093
30 ||| s c h l a s e n ||| -10.9832360351 -4.20880175957 -6.94595243355 -4.04960774648 -9.98484676532 0.0 -99.0 ||| -7.971841
31 ||| d a s ||| -0.0874831804358 -0.218921764648 -0.125267390562 -0.0745759090596 -0.0533773890698 0.0 -1.89194909483 ||| -0.126016
31 ||| d a s s ||| -2.53638626671 -4.81358830826 -2.89570417049 -2.71621735097 -3.07298180274 0.0 -2.8129774034 ||| -3.227927
31 ||| d i e s e s ||| -7.92894787941 -1.88441599618 -3.44225838962 -6.46400991581 -6.50570178265 -1.0 -4.09582260251 ||| -5.816530
32 ||| v i e l e ||| -0.0137031898776 -0.35393818819 -0.0571714241344 -0.0997016912715 -0.037481655797 0.0 -3.42451956868 ||| -0.137905
32 ||| v e i l e ||| -7.16553889945 -5.93904939844 -5.76145326873 -7.68969417688 -3.69889410822 0.0 -99.0 ||| -6.788278
32 ||| v i e l e i n ||| -7.12609471241 -6.33333497017 -9.04766430798 -3.03572679804 -5.25196849706 0.0 -99.0 ||| -6.896310
33 ||| 6 i ||| -0.691868185076 -0.0248178751891 -1.61270349687 -0.811204058911 -0.155597567226 0.0 -5.09283283353 ||| -0.697170
33 ||| 6 ||| -7.96848128458 -7.70812695534 -3.69458496651 -4.3696671959 -2.31117449501 -1.0 -4.10081321001 ||| -5.781908
34 ||| e m o j i q k i s s i n g c a t f a c e w i t h c l o s e d e y e s ||| -0.0848668559269 -0.0678529843383 -0.0766242780129 -0.0627619326066 -0.0839353461961 0.0 -3.38208964467 ||| -0.100398
34 ||| e m o j i q k i s s i n g c a t f a c e w i t h c l o s e d e y e e s ||| -8.76854694418 -6.49434196222 -8.94524755695 -5.4091145189 -6.31209427473 0.0 -99.0 ||| -7.923221
34 ||| e m o j i q k i s s i n g c a t f a c e w i t h c l o s e d e y e ||| -6.87429593512 -6.47370242195 -6.17958422134 -8.77892402809 -7.74479883554 -1.0 -99.0 ||| -8.488571
35 ||| c h ä g g t ||| -6.19593417997 -5.90749648072 -3.41822980106 -4.2430261405 -4.37424324224 0.0 -99.0 ||| -5.565138
35 ||| c h e g t ||| -0.892149528168 -0.197197061876 -2.0066615638 -10.4356515874 -7.95304203956 -1.0 -99.0 ||| -5.575250
35 ||| c h ä g t ||| -3.4699851448 -5.92398031778 -1.98073550571 -4.53781596215 -6.69841383806 -1.0 -99.0 ||| -5.800496
36 ||| x d ||| -0.000373800491774 -0.00243675098287 -0.000354685670278 -0.000731631930705 -0.000895288766121 0.0 -2.77564552426 ||| -0.021631
36 ||| x d e ||| -11.5905635967 -7.74400748065 -10.7265148467 -8.20148497021 -8.15910333128 0.0 -99.0 ||| -10.021687
36 ||| x d n ||| -13.4116692308 -12.0679890502 -11.5686850795 -11.9380353592 -9.51639444184 0.0 -99.0 ||| -12.437907
37 ||| m e d i a q r e m o v e d ||| -0.0271382330724 -0.175667946641 -0.108766471511 -0.115828280071 -0.0485575789307 0.0 -3.65405657887 ||| -0.122407
37 ||| m e d i a q r e m o v e d e ||| -6.40955227133 -5.99567023887 -6.18991557744 -8.01236954826 -5.99085172202 0.0 -99.0 ||| -7.257024
37 ||| w e d i a q r e m o v e d ||| -6.17489039734 -9.24971701785 -10.6505321389 -7.91094967317 -7.23774230795 0.0 -99.0 ||| -8.982118
38 ||| d i e ||| -0.114827926762 -0.0571025321355 -0.0369740767132 -0.193170923818 -0.0295380228658 0.0 -2.08469669521 ||| -0.101850
38 ||| d i e s e ||| -2.29213940285 -3.0386053633 -3.47536428394 -1.76868902117 -3.96196989359 0.0 -3.38208964467 ||| -2.932543
38 ||| d i e n ||| -7.11408465449 -6.7186465712 -6.1822382282 -7.68664687899 -6.9678797841 0.0 -99.0 ||| -7.671251
39 ||| b e s s e r ||| -0.00135803075606 -0.00314586687583 -0.00580120554557 -0.00788862276699 -0.0010597272178 0.0 -3.26473048329 ||| -0.028166
39 ||| b e s s e r e ||| -8.29770910336 -8.79281972178 -7.07315434428 -8.20896010524 -9.63476389898 0.0 -4.7176335156 ||| -8.436618
39 ||| b i s s e r ||| -10.0508598486 -7.7404904721 -10.3640580601 -7.74748917935 -10.2735597353 0.0 -99.0 ||| -9.972643
40 ||| k r a n k e k a s s e ||| -0.686038387989 -0.681980466713 -0.20377240022 -0.445072453531 -1.09602895386 0.0 -99.0 ||| -1.359931
40 ||| k r a n k e k a s s e n ||| -1.19336129752 -1.62260278524 -2.29673994418 -2.10567699698 -2.36738248117 0.0 -99.0 ||| -2.654505
40 ||| k r a n k e n k a s s e ||| -3.66652104604 -3.663612929 -6.59618380693 -3.19491940312 -1.62653359803 0.0 -99.0 ||| -4.486906
41 ||| j e t z t ||| -0.00687068092053 -0.00139950009556 -0.000704491997514 -0.000235952922979 -0.000363175864729 0.0 -2.60204151273 ||| -0.021295
41 ||| j i t z t ||| -16.0334042661 -9.26704742527 -8.15527300915 -9.17699626792 -10.4806788453 0.0 -99.0 ||| -11.360032
41 ||| g e t z t ||| -8.61609615379 -13.6288751585 -13.7325666984 -11.5086784239 -9.15277823236 0.0 -99.0 ||| -12.065151
42 ||| d . h . ||| -2.99091507694 -2.03578441746 -0.245088505224 -0.0598577534875 -1.30677867041 0.0 -5.09283283353 ||| -1.365616
42 ||| d . h ||| -3.74251793651 -11.8417677079 -8.97971290194 -8.61304565295 -6.84978709329 -1.0 -99.0 ||| -9.283676
43 ||| g u t e ||| -0.013342760568 -0.00815313148167 -0.0116874234765 -0.0029809229177 -0.00938101868399 -1.0 -3.43963769078 ||| -0.575685
43 ||| g u t i ||| -4.91033579013 -6.91165705477 -6.30470547682 -7.62471011029 -7.10561122021 -1.0 -99.0 ||| -7.849714
43 ||| g u t e n ||| -5.73053488137 -11.0759933558 -8.44377891073 -8.77017278531 -7.39976026432 0.0 -3.62955549359 ||| -8.311081
44 ||| g e s p i e l t ||| -0.00890784764129 -0.00483961815543 -0.00529548063815 -0.00325640893066 -0.00515800681547 0.0 -4.54191854596 ||| -0.039320
44 ||| s p i e l t ||| -6.77598851033 -9.55160872773 -6.94171917576 -11.5671668641 -9.19381962617 -1.0 -4.33358246088 ||| -9.379295
44 ||| g e s p e i e l t ||| -11.5041367775 -11.0419852043 -5.85564268937 -10.3171572965 -6.31868513858 0.0 -99.0 ||| -9.744873
45 ||| h a b e ||| -0.0285445183707 -0.0131303623738 -0.0394414594494 -0.0535203263701 -0.0411313892899 -1.0 -2.34166046977 ||| -0.593552
45 ||| h a b e n ||| -3.64906787551 -4.71952998393 -3.33100176516 -3.01792408711 -3.2579723382 -1.0 -2.81408700347 ||| -4.157017
45 ||| h e i m ||| -8.91582819618 -6.69130146206 -6.90931267425 -6.83185249141 -8.97459106732 -1.0 -3.328989923 ||| -8.230329
46 ||| . ||| -0.00021175522605 -7.7845644823e-05 -0.000114239166332 -9.76524601165e-05 -9.19620861363e-05 0.0 -2.04018464684 ||| -0.015314
46 ||| ! ||| -12.8245624616 -12.7104769375 -10.8908066788 -11.7124692125 -11.1372427421 0.0 -2.41002061963 ||| -11.873061
46 ||| . n ||| -14.7069164527 -13.9910413069 -12.0198935122 -10.3819563858 -11.7717840618 -1.0 -99.0 ||| -13.852628
47 ||| d a s ||| -0.0362843138623 -0.471486546748 -0.412829071368 -0.0897743539124 -0.148908739456 0.0 -1.89194909483 ||| -0.245948
47 ||| d a ||| -3.63698531097 -3.21744032522 -2.21828746712 -3.91991584243 -2.17760819429 0.0 -2.9700756371 ||| -3.056169
47 ||| d e n ||| -6.92993649076 -1.6566166763 -1.9354740267 -3.96738097608 -4.56773031091 0.0 -2.40422480926 ||| -3.829334
48 ||| g e r n e ||| -0.106879317381 -0.019064192266 -0.018767630019 -0.115601904256 -0.0679949349369 0.0 -3.23016685247 ||| -0.089720
48 ||| g e r n ||| -2.38721397064 -4.53808030074 -4.58873821968 -2.41027219321 -3.20009938376 0.0 -3.92512467504 ||| -3.454115
48 ||| g e r n e n ||| -10.0044450871 -9.34805225684 -6.17808997256 -10.5104302482 -5.59622339868 0.0 -99.0 ||| -9.064800
49 ||| m a n ||| -0.0221062371597 -0.0552844244239 -0.589716210489 -0.122756137534 -0.0534353427961 0.0 -2.7803028971 ||| -0.189367
49 ||| m e h r ||| -5.63379497613 -3.42426001878 -0.925766477894 -2.25538287946 -6.49645039013 -1.0 -2.94069165736 ||| -4.309991
49 ||| m e ||| -7.67695521367 -7.00643006447 -4.8547823102 -7.0843089762 -4.77842691102 0.0 -4.54191854596 ||| -6.314009
50 ||| m i c h ||| -0.249928917003 -0.0982149624574 -0.0408831811498 -0.225867274882 -0.219933571484 0.0 -2.47310394794 ||| -0.185385
50 ||| m a c h ||| -2.61767430294 -6.01084138116 -4.76474040404 -3.87487216972 -3.10747721865 0.0 -3.90958720446 ||| -4.104240
50 ||| m a c h e ||| -3.14824233554 -4.83554124564 -8.86697890084 -4.86245645474 -4.78860989172 0.0 -3.33457112312 ||| -5.325202
51 ||| n o c h ||| -0.00559836470791 -0.00270314654242 -0.0165417426419 -0.00527078348054 -0.00398574733491 -1.0 -2.27911411226 ||| -0.564753
51 ||| n a c h ||| -6.41658516154 -8.48430051207 -4.63249837154 -6.17823721546 -6.7162227104 -1.0 -3.28734943271 ||| -7.051011
51 ||| n o ||| -7.1732697929 -6.98450680559 -6.3817269867 -7.76010005309 -8.54808545918 0.0 -4.54191854596 ||| -7.403366
52 ||| g e w o h n t ||| -0.0578847389601 -0.0316437081227 -0.0157583718114 -0.00957883227053 -0.0274116164348 0.0 -5.09283283353 ||| -0.066387
52 ||| g e w ö h n t ||| -6.48548993331 -4.74440026686 -4.73340235087 -5.84140577108 -6.3947854527 0.0 -5.09283283353 ||| -5.677828
52 ||| g e w a h n t ||| -5.86671263264 -5.96099756162 -6.44897218547 -8.24898790654 -4.4374405724 0.0 -99.0 ||| -6.929974
53 ||| m i t ||| -0.000863528880164 -0.000853114514153 -0.000218145116456 -0.000842663936508 -0.000860861115642 0.0 -2.55418309569 ||| -0.019751
53 ||| w i t ||| -9.07576496127 -9.87597496468 -10.4445412245 -8.02436662068 -8.43828826084 0.0 -99.0 ||| -9.909139
53 ||| m e i t ||| -8.37822449339 -12.7343858113 -10.344637264 -10.5534050082 -13.0499306438 0.0 -99.0 ||| -11.749469
54 ||| i c h ||| -0.0263793870547 -0.00567541338964 -0.0593875350538 -0.106902716243 -0.0385227302302 -2.0 -1.79678095132 ||| -1.142672
54 ||| i n ||| -4.02045344413 -5.6345599995 -3.04086510362 -2.41840530315 -3.59737191762 -1.0 -2.67018675804 ||| -4.303177
54 ||| e i n ||| -6.32838148618 -7.01242482757 -5.86765912842 -5.20604731753 -5.59465950351 -2.0 -2.38818848878 ||| -7.101538
55 ||| : ) ||| -0.000363515509882 -0.000456481045939 -0.000428641853785 -0.000420564293294 -0.000222055405042 0.0 -2.50255849957 ||| -0.019017
55 ||| ; ) ||| -11.6443338184 -9.3759466413 -9.81598931684 -10.2548143799 -8.978556108 0.0 -2.60428360105 ||| -10.033325
55 ||| ) ) ||| -12.4090367407 -10.2966444874 -9.28798160418 -9.16523434139 -10.361171502 0.0 -99.0 ||| -11.041366
56 ||| a u c h ||| -0.00096637160499 -0.00143980790009 -0.000828862697947 -0.00182093974291 -0.00113193628277 -1.0 -2.20523613691 ||| -0.558620
56 ||| a u ||| -9.29172764113 -8.50845664301 -8.70950883736 -7.59689768074 -8.06718087356 0.0 -5.09283283353 ||| -8.472686
56 ||| a l l e ||| -10.1315856728 -9.71538931805 -9.80850849075 -8.22066261216 -10.1679009446 -1.0 -3.27513864636 ||| -10.174161
57 ||| s e h e ||| -0.251718585457 -0.17324299649 -2.06213106099 -0.410007300329 -1.27639569643 0.0 -4.24143439531 ||| -0.866289
57 ||| s e h e n ||| -1.77323968162 -1.90693823955 -0.191198547672 -1.58854766177 -1.27130564443 0.0 -3.72340869904 ||| -1.373978
57 ||| s a h e n ||| -7.1600632429 -7.26769154882 -5.74085337276 -3.94709191956 -3.97567385363 0.0 -99.0 ||| -6.355627
58 ||| k u r e r f e s t ||| -3.26562031174 -0.697978915903 -1.61046945274 -0.473989775976 -2.92887269513 -1.0 -99.0 ||| -3.073696
58 ||| c h u r e r f e s t ||| -1.46633585508 -1.97682869272 -4.89696949567 -3.23506365858 -5.1203129019 0.0 -99.0 ||| -4.076454
58 ||| k u r e r f e n s t ||| -10.1977892879 -1.97944265716 -7.91755740009 -5.54245631121 -2.85134715589 0.0 -99.0 ||| -6.435071
59 ||| g e m a c h t ||| -0.00240040766312 -0.00757979985979 -0.00456720327016 -0.00317819477422 -0.00223600255046 0.0 -3.25456669927 ||| -0.028232
59 ||| g e m a c h t e ||| -10.384913114 -8.05816404988 -11.2963744266 -8.03605719246 -7.71941081031 0.0 -99.0 ||| -9.836336
59 ||| g e w a c h t ||| -8.8187444729 -8.73856748904 -11.6988313825 -9.46202259193 -9.06629424547 0.0 -99.0 ||| -10.294244
60 ||| d a s s ||| -0.432931357527 -0.486788605123 -0.0949951227777 -0.129450382056 -0.112262195561 0.0 -2.8129774034 ||| -0.272237
60 ||| d a s ||| -1.09873328747 -0.994187366229 -2.52351882626 -2.14265413757 -2.36048680504 -1.0 -1.89194909483 ||| -2.378965
61 ||| t u t ||| -0.0671050519392 -0.00254044337005 -0.00131062530845 -0.00131905023917 -0.00149429791628 -1.0 -3.84627509117 ||| -0.584359
61 ||| t u t e ||| -7.65241344089 -8.91979776201 -9.66163651437 -8.88253035813 -7.27542246177 0.0 -99.0 ||| -9.215712
61 ||| t u e t ||| -9.05548169294 -10.483343302 -6.88240287013 -6.93434897607 -10.8774405835 0.0 -99.0 ||| -9.583955
62 ||| , ||| -6.36291671146e-05 -0.000147445387716 -0.000118827808051 -0.00016474714511 -0.000125656618419 0.0 -1.77467158437 ||| -0.013342
